Name	Substantial contributions to the conception or design of the work; or the acquisition, analysis, or interpretation of data for the work	Drafting the work or revising it critically for important intellectual content	Final approval of the version to be published	Agreement to be accountable for all aspects of the work in ensuring that questions related to the accuracy or integrity of any part of the work are appropriately investigated and resolved
Benjamin Lee	x		x	x
